"Team","Recruits","Class_Points","Conference","Year"
"Michigan State",19,194.39,"Big-Ten","2013"
"Wisconsin",23,191.24,"Big-Ten","2013"
"Maryland",23,190.61,"Big-Ten","2013"
"Indiana",26,188.56,"Big-Ten","2013"
"Illinois",26,177.6,"Big-Ten","2013"
"Rutgers",29,176.18,"Big-Ten","2013"
"Northwestern",19,173.91,"Big-Ten","2013"
"Iowa",25,169.95,"Big-Ten","2013"
"Purdue",24,159.12,"Big-Ten","2013"
"Minnesota",19,151.4,"Big-Ten","2013"
"Marshall",22,170.31,"C-USA","2013"
"Southern Miss",26,132.31,"C-USA","2013"
"Florida Atlantic",26,128.15,"C-USA","2013"
"Middle Tennessee State",25,125.9,"C-USA","2013"
"UAB",29,125.45,"C-USA","2013"
"Louisiana Tech",20,123.39,"C-USA","2013"
"Rice",19,122.51,"C-USA","2013"
"Western Kentucky",35,121.26,"C-USA","2013"
"Texas-San Antonio",22,106.81,"C-USA","2013"
"Charlotte",23,102,"C-USA","2013"
"FIU",19,101.26,"C-USA","2013"
"North Texas",19,94.5,"C-USA","2013"
"UTEP",18,84.91,"C-USA","2013"
"Old Dominion",37,75.52,"C-USA","2013"
"Notre Dame",24,284.76,"IND","2013"
"Brigham Young",31,153.42,"IND","2013"
"Navy",23,95.49,"IND","2013"
"Army",13,70.68,"IND","2013"
"Toledo",22,144,"MAC","2013"
"Bowling Green",23,137.62,"MAC","2013"
"Massachusetts",25,118.77,"MAC","2013"
"Northern Illinois",26,108.66,"MAC","2013"
"Miami (OH)",22,106.88,"MAC","2013"
"Central Michigan",20,106.44,"MAC","2013"
"Ball State",21,102.32,"MAC","2013"
"Western Michigan",18,100.8,"MAC","2013"
"Akron",17,98.15,"MAC","2013"
"Eastern Michigan",21,94.97,"MAC","2013"
"Kent State",21,94.14,"MAC","2013"
"Ohio",21,91.72,"MAC","2013"
"Buffalo",18,66.73,"MAC","2013"
"Boise State",27,172.95,"M-West","2013"
"San Diego State",24,145.85,"M-West","2013"
"Fresno State",29,144.25,"M-West","2013"
"Hawaii",28,138.94,"M-West","2013"
"Colorado State",23,132.55,"M-West","2013"
"Nevada",20,124.4,"M-West","2013"
"New Mexico",26,123.3,"M-West","2013"
"UNLV",22,120.23,"M-West","2013"
"Air Force",43,112.68,"M-West","2013"
"Utah State",24,105.32,"M-West","2013"
"Wyoming",20,102.68,"M-West","2013"
"San Jose State",18,82.32,"M-West","2013"
"UCLA",28,276.26,"Pac-12","2013"
"USC",12,256.42,"Pac-12","2013"
"Washington",22,234.44,"Pac-12","2013"
"Oregon",20,227.7,"Pac-12","2013"
"Arizona State",28,191.15,"Pac-12","2013"
"California",25,190.82,"Pac-12","2013"
"Arizona",35,186.75,"Pac-12","2013"
"Oregon State",25,186.45,"Pac-12","2013"
"Utah",28,180.94,"Pac-12","2013"
"Stanford",13,174.43,"Pac-12","2013"
"Washington State",30,173.67,"Pac-12","2013"
"Colorado",20,148.16,"Pac-12","2013"
"Alabama",26,319.48,"SEC","2013"
"Florida",28,291.48,"SEC","2013"
"LSU",28,281.03,"SEC","2013"
"Ole Miss",30,275.5,"SEC","2013"
"Texas A&M",33,267.79,"SEC","2013"
"Auburn",26,267.37,"SEC","2013"
"Georgia",34,260.38,"SEC","2013"
"South Carolina",24,223.67,"SEC","2013"
"Arkansas",36,215.94,"SEC","2013"
"Tennessee",25,213.57,"SEC","2013"
"Mississippi State",23,212.84,"SEC","2013"
"Vanderbilt",27,210.75,"SEC","2013"
"Kentucky",24,194.59,"SEC","2013"
"Missouri",21,188.16,"SEC","2013"
"Louisiana-Lafayette",21,140.25,"SBC","2013"
"South Alabama",28,122.04,"SBC","2013"
"Texas State",22,121.25,"SBC","2013"
"Troy",24,115.84,"SBC","2013"
"Arkansas State",21,113.66,"SBC","2013"
"New Mexico State",17,87.63,"SBC","2013"
"Idaho",21,79.99,"SBC","2013"
"Appalachian State",16,75.26,"SBC","2013"
"Louisiana-Monroe",16,72.64,"SBC","2013"
"Georgia State",27,65.9,"SBC","2013"
"Georgia Southern",9,29.36,"SBC","2013"
"Florida State",29,286.77,"ACC","2014"
"Miami",27,255.8,"ACC","2014"
"Clemson",20,240.66,"ACC","2014"
"Virginia Tech",30,216.97,"ACC","2014"
"North Carolina",21,211.63,"ACC","2014"
"Virginia",17,204.94,"ACC","2014"
"N.C. State",31,200.91,"ACC","2014"
"Pittsburgh",23,184.56,"ACC","2014"
"Louisville",26,183.93,"ACC","2014"
"Syracuse",25,176.8,"ACC","2014"
"Boston College",30,175.46,"ACC","2014"
"Georgia Tech",21,172.2,"ACC","2014"
"Duke",19,166.42,"ACC","2014"
"Wake Forest",25,160.87,"ACC","2014"
"Oklahoma",28,248.55,"Big-12","2014"
"Texas",23,240.71,"Big-12","2014"
"Baylor",28,217,"Big-12","2014"
"Oklahoma State",27,216.48,"Big-12","2014"
"West Virginia",32,196.51,"Big-12","2014"
"Texas Tech",37,190.12,"Big-12","2014"
"TCU",27,188.06,"Big-12","2014"
"Kansas State",26,177.47,"Big-12","2014"
"Kansas",30,176.39,"Big-12","2014"
"Iowa State",25,169.6,"Big-12","2014"
"USF",28,190.54,"AAC","2014"
"UCF",17,165.79,"AAC","2014"
"Cincinnati",27,161.11,"AAC","2014"
"Temple",31,155.7,"AAC","2014"
"Houston",26,143.91,"AAC","2014"
"East Carolina",29,142.56,"AAC","2014"
"Memphis",25,130.4,"AAC","2014"
"Tulsa",24,128.58,"AAC","2014"
"SMU",24,128.3,"AAC","2014"
"Tulane",20,120.75,"AAC","2014"
"Connecticut",16,97.85,"AAC","2014"
"Ohio State",31,296.06,"Big-Ten","2014"
"Michigan",26,233.57,"Big-Ten","2014"
"Penn State",26,222.38,"Big-Ten","2014"
"Michigan State",22,217.41,"Big-Ten","2014"
"Wisconsin",27,204.85,"Big-Ten","2014"
"Nebraska",25,197.83,"Big-Ten","2014"
"Maryland",18,191.72,"Big-Ten","2014"
"Northwestern",15,182.1,"Big-Ten","2014"
"Indiana",31,180.15,"Big-Ten","2014"
"Rutgers",32,173.71,"Big-Ten","2014"
"Minnesota",22,169.94,"Big-Ten","2014"
"Iowa",22,168.33,"Big-Ten","2014"
"Purdue",19,157.42,"Big-Ten","2014"
"Illinois",19,152.35,"Big-Ten","2014"
"Marshall",28,165.7,"C-USA","2014"
"Old Dominion",37,144.24,"C-USA","2014"
"Southern Miss",25,130.09,"C-USA","2014"
"Louisiana Tech",20,124.81,"C-USA","2014"
"Middle Tennessee State",23,122.13,"C-USA","2014"
"Western Kentucky",26,120.8,"C-USA","2014"
"Rice",19,116.38,"C-USA","2014"
"Florida Atlantic",23,114.9,"C-USA","2014"
"North Texas",22,105.66,"C-USA","2014"
"FIU",26,102.91,"C-USA","2014"
"UAB",37,97.63,"C-USA","2014"
"Charlotte",22,92.58,"C-USA","2014"
"UTEP",23,85.83,"C-USA","2014"
"Texas-San Antonio",16,81.76,"C-USA","2014"
"Notre Dame",24,260.44,"IND","2014"
"Brigham Young",20,160.55,"IND","2014"
"Navy",22,94.58,"IND","2014"
"Army",24,80.46,"IND","2014"
"Western Michigan",28,153.7,"MAC","2014"
"Toledo",23,117.53,"MAC","2014"
"Buffalo",22,110.69,"MAC","2014"
"Northern Illinois",31,109.96,"MAC","2014"
"Ball State",18,104.9,"MAC","2014"
"Ohio",24,102.45,"MAC","2014"
"Akron",19,101.86,"MAC","2014"
"Bowling Green",19,101.48,"MAC","2014"
"Massachusetts",17,90.2,"MAC","2014"
"Central Michigan",19,87.62,"MAC","2014"
"Eastern Michigan",22,84.86,"MAC","2014"
"Miami (OH)",25,81.99,"MAC","2014"
"Kent State",21,81.79,"MAC","2014"
"Boise State",22,159.21,"M-West","2014"
"San Diego State",27,148.06,"M-West","2014"
"Fresno State",24,126.85,"M-West","2014"
"Nevada",29,126.7,"M-West","2014"
"San Jose State",20,124.04,"M-West","2014"
"Colorado State",26,123.25,"M-West","2014"
"New Mexico",26,111.82,"M-West","2014"
"Hawaii",25,108.61,"M-West","2014"
"Air Force",24,97.93,"M-West","2014"
"Utah State",28,97.71,"M-West","2014"
"UNLV",19,89.8,"M-West","2014"
"Wyoming",22,82.31,"M-West","2014"
"USC",26,264.21,"Pac-12","2014"
"Stanford",20,250.06,"Pac-12","2014"
"UCLA",20,239.47,"Pac-12","2014"
"Oregon",22,232.45,"Pac-12","2014"
"Arizona State",28,222.47,"Pac-12","2014"
"Arizona",32,211.66,"Pac-12","2014"
"Washington",25,197.58,"Pac-12","2014"
"California",20,173.56,"Pac-12","2014"
"Washington State",22,172.66,"Pac-12","2014"
"Oregon State",30,164.97,"Pac-12","2014"
"Utah",18,160.27,"Pac-12","2014"
"Colorado",24,144.97,"Pac-12","2014"
"Alabama",29,319.58,"SEC","2014"
"LSU",27,299.3,"SEC","2014"
"Texas A&M",22,278.25,"SEC","2014"
"Auburn",27,277.02,"SEC","2014"
"Tennessee",32,274.76,"SEC","2014"
"Georgia",21,273.38,"SEC","2014"
"Florida",24,267.75,"SEC","2014"
"Ole Miss",27,241.12,"SEC","2014"
"South Carolina",21,239.46,"SEC","2014"
"Kentucky",32,225.45,"SEC","2014"
"Arkansas",27,215.62,"SEC","2014"
"Mississippi State",24,200.03,"SEC","2014"
"Missouri",29,195.14,"SEC","2014"
"Vanderbilt",23,183.62,"SEC","2014"
"Appalachian State",28,123.34,"SBC","2014"
"Georgia Southern",22,120.95,"SBC","2014"
"Arkansas State",24,114.25,"SBC","2014"
"Texas State",25,109.6,"SBC","2014"
"Georgia State",29,106.78,"SBC","2014"
"Louisiana-Lafayette",21,102.11,"SBC","2014"
"South Alabama",24,97.84,"SBC","2014"
"New Mexico State",27,87.81,"SBC","2014"
"Louisiana-Monroe",23,84.11,"SBC","2014"
"Idaho",23,79,"SBC","2014"
"Troy",17,64.29,"SBC","2014"
"Florida State",20,285.69,"ACC","2015"
"Clemson",26,277.24,"ACC","2015"
"Miami",22,216.19,"ACC","2015"
"North Carolina",19,213.7,"ACC","2015"
"Virginia Tech",24,212.5,"ACC","2015"
"N.C. State",23,207.36,"ACC","2015"
"Louisville",26,201.19,"ACC","2015"
"Georgia Tech",27,185.72,"ACC","2015"
"Pittsburgh",15,182.8,"ACC","2015"
"Virginia",23,179.54,"ACC","2015"
"Duke",18,175.85,"ACC","2015"
"Wake Forest",25,174.82,"ACC","2015"
"Syracuse",29,169.14,"ACC","2015"
"Boston College",25,166.13,"ACC","2015"
"Texas",30,271.84,"Big-12","2015"
"Oklahoma",28,250.24,"Big-12","2015"
"Texas Tech",20,200.58,"Big-12","2015"
"West Virginia",30,197.43,"Big-12","2015"
"Baylor",19,195.62,"Big-12","2015"
"Oklahoma State",21,192.06,"Big-12","2015"
"TCU",22,187.52,"Big-12","2015"
"Kansas State",24,173.16,"Big-12","2015"
"Iowa State",24,164.4,"Big-12","2015"
"Kansas",26,151.33,"Big-12","2015"
"Cincinnati",28,163.32,"AAC","2015"
"USF",20,162.72,"AAC","2015"
"UCF",18,159.02,"AAC","2015"
"Memphis",33,147.68,"AAC","2015"
"SMU",24,143.56,"AAC","2015"
"Temple",23,141.95,"AAC","2015"
"Houston",21,128.82,"AAC","2015"
"Tulane",19,128.68,"AAC","2015"
"East Carolina",15,127.81,"AAC","2015"
"Connecticut",23,122.86,"AAC","2015"
"Navy",29,115.75,"AAC","2015"
"Tulsa",18,114.02,"AAC","2015"
"Ohio State",26,277.78,"Big-Ten","2015"
"Penn State",25,250.22,"Big-Ten","2015"
"Michigan State",21,222.36,"Big-Ten","2015"
"Nebraska",21,212.17,"Big-Ten","2015"
"Michigan",14,194.69,"Big-Ten","2015"
"Wisconsin",19,190.29,"Big-Ten","2015"
"Illinois",24,182.36,"Big-Ten","2015"
"Maryland",19,181.86,"Big-Ten","2015"
"Indiana",23,175.82,"Big-Ten","2015"
"Northwestern",20,174.34,"Big-Ten","2015"
"Rutgers",25,171.46,"Big-Ten","2015"
"Iowa",21,168.52,"Big-Ten","2015"
"Minnesota",24,165.56,"Big-Ten","2015"
"Purdue",26,164.54,"Big-Ten","2015"
"Marshall",26,150.07,"C-USA","2015"
"Florida Atlantic",26,145.75,"C-USA","2015"
"Louisiana Tech",22,143.37,"C-USA","2015"
"Middle Tennessee State",25,133.6,"C-USA","2015"
"Southern Miss",27,133.47,"C-USA","2015"
"North Texas",24,126.72,"C-USA","2015"
"FIU",23,124.73,"C-USA","2015"
"Old Dominion",24,122.17,"C-USA","2015"
"Texas-San Antonio",32,120.58,"C-USA","2015"
"Rice",19,118.29,"C-USA","2015"
"Western Kentucky",21,114.09,"C-USA","2015"
"Charlotte",17,87.53,"C-USA","2015"
"UTEP",24,69.32,"C-USA","2015"
"UAB",1,0,"C-USA","2015"
"Notre Dame",24,266.46,"IND","2015"
"Brigham Young",23,165.21,"IND","2015"
"Army",39,102.12,"IND","2015"
"Western Michigan",27,148.39,"MAC","2015"
"Miami (OH)",29,147.85,"MAC","2015"
"Northern Illinois",31,135.87,"MAC","2015"
"Toledo",24,134.06,"MAC","2015"
"Ohio",29,132.38,"MAC","2015"
"Central Michigan",20,125.69,"MAC","2015"
"Kent State",22,123.17,"MAC","2015"
"Massachusetts",22,120.17,"MAC","2015"
"Bowling Green",24,116.77,"MAC","2015"
"Ball State",27,114.14,"MAC","2015"
"Eastern Michigan",26,110.82,"MAC","2015"
"Buffalo",20,106.1,"MAC","2015"
"Akron",18,81.47,"MAC","2015"
"Boise State",22,171.45,"M-West","2015"
"San Jose State",33,168.85,"M-West","2015"
"San Diego State",25,163.79,"M-West","2015"
"Utah State",20,162.23,"M-West","2015"
"Fresno State",21,155.13,"M-West","2015"
"Nevada",18,120.94,"M-West","2015"
"UNLV",22,120.01,"M-West","2015"
"Wyoming",23,118.84,"M-West","2015"
"New Mexico",25,107.96,"M-West","2015"
"Colorado State",14,104.52,"M-West","2015"
"Hawaii",14,93.46,"M-West","2015"
"Air Force",28,89.65,"M-West","2015"
"USC",27,308.3,"Pac-12","2015"
"UCLA",19,268.66,"Pac-12","2015"
"Oregon",24,245.07,"Pac-12","2015"
"Arizona State",24,232.1,"Pac-12","2015"
"Stanford",22,220.48,"Pac-12","2015"
"Washington",25,215.86,"Pac-12","2015"
"California",25,198.81,"Pac-12","2015"
"Washington State",25,188.52,"Pac-12","2015"
"Arizona",28,186.46,"Pac-12","2015"
"Utah",25,183.29,"Pac-12","2015"
"Oregon State",21,167.96,"Pac-12","2015"
"Colorado",19,162.12,"Pac-12","2015"
"Alabama",24,309.07,"SEC","2015"
"Tennessee",30,285.64,"SEC","2015"
"Georgia",30,282.44,"SEC","2015"
"LSU",24,282.35,"SEC","2015"
"Auburn",29,277.4,"SEC","2015"
"Texas A&M",27,270.42,"SEC","2015"
"Ole Miss",23,244.59,"SEC","2015"
"Mississippi State",27,238,"SEC","2015"
"South Carolina",31,237.05,"SEC","2015"
"Florida",21,227.91,"SEC","2015"
"Arkansas",25,221.95,"SEC","2015"
"Missouri",24,217.59,"SEC","2015"
"Kentucky",22,193.47,"SEC","2015"
"Vanderbilt",19,183.15,"SEC","2015"
"Louisiana-Lafayette",25,146.25,"SBC","2015"
"Arkansas State",25,132.95,"SBC","2015"
"South Alabama",24,132.26,"SBC","2015"
"Georgia Southern",21,129.03,"SBC","2015"
"Texas State",25,126.13,"SBC","2015"
"Louisiana-Monroe",27,117.99,"SBC","2015"
"Troy",21,117.63,"SBC","2015"
"Appalachian State",23,112.49,"SBC","2015"
"Idaho",26,98.61,"SBC","2015"
"New Mexico State",26,93.38,"SBC","2015"
"Georgia State",19,93.19,"SBC","2015"
"Florida State",25,295.44,"ACC","2016"
"Clemson",20,270.74,"ACC","2016"
"Miami",19,235.05,"ACC","2016"
"Pittsburgh",24,209.04,"ACC","2016"
"Duke",21,204.76,"ACC","2016"
"North Carolina",25,202.07,"ACC","2016"
"Louisville",25,195.63,"ACC","2016"
"Virginia Tech",22,191.24,"ACC","2016"
"N.C. State",23,178.77,"ACC","2016"
"Georgia Tech",18,167.26,"ACC","2016"
"Wake Forest",22,167.26,"ACC","2016"
"Virginia",25,163.79,"ACC","2016"
"Syracuse",21,163.54,"ACC","2016"
"Boston College",19,147.97,"ACC","2016"
"Texas",28,280.31,"Big-12","2016"
"Oklahoma",21,238.02,"Big-12","2016"
"TCU",23,234.93,"Big-12","2016"
"West Virginia",31,193.84,"Big-12","2016"
"Baylor",18,190.32,"Big-12","2016"
"Oklahoma State",22,183.52,"Big-12","2016"
"Texas Tech",26,182.63,"Big-12","2016"
"Iowa State",29,172.9,"Big-12","2016"
"Kansas State",20,151.39,"Big-12","2016"
"Kansas",18,135.7,"Big-12","2016"
"Houston",20,203.39,"AAC","2016"
"Temple",28,167.55,"AAC","2016"
"UCF",22,165.16,"AAC","2016"
"USF",16,162.38,"AAC","2016"
"Memphis",22,161.76,"AAC","2016"
"Cincinnati",21,151.61,"AAC","2016"
"SMU",25,151.38,"AAC","2016"
"East Carolina",25,148.45,"AAC","2016"
"Tulane",24,137.3,"AAC","2016"
"Navy",36,135.14,"AAC","2016"
"Tulsa",20,127.52,"AAC","2016"
"Connecticut",16,123.67,"AAC","2016"
"Ohio State",25,289.12,"Big-Ten","2016"
"Michigan",29,283.18,"Big-Ten","2016"
"Michigan State",20,239.2,"Big-Ten","2016"
"Penn State",20,237.79,"Big-Ten","2016"
"Nebraska",21,218.49,"Big-Ten","2016"
"Wisconsin",26,204.95,"Big-Ten","2016"
"Maryland",21,189.1,"Big-Ten","2016"
"Minnesota",21,181.41,"Big-Ten","2016"
"Iowa",24,180.9,"Big-Ten","2016"
"Northwestern",20,174.71,"Big-Ten","2016"
"Indiana",21,169.77,"Big-Ten","2016"
"Rutgers",18,155.28,"Big-Ten","2016"
"Illinois",25,153.58,"Big-Ten","2016"
"Purdue",23,144.94,"Big-Ten","2016"
"Marshall",30,166.55,"C-USA","2016"
"UAB",48,159.91,"C-USA","2016"
"Louisiana Tech",20,129.41,"C-USA","2016"
"Middle Tennessee State",21,127.79,"C-USA","2016"
"Southern Miss",18,126.49,"C-USA","2016"
"Western Kentucky",19,125.93,"C-USA","2016"
"Florida Atlantic",19,125.69,"C-USA","2016"
"FIU",26,124.31,"C-USA","2016"
"North Texas",22,123.78,"C-USA","2016"
"Old Dominion",24,119.17,"C-USA","2016"
"Texas-San Antonio",18,117.44,"C-USA","2016"
"Charlotte",16,108.02,"C-USA","2016"
"UTEP",25,105.17,"C-USA","2016"
"Rice",18,94.39,"C-USA","2016"
"Notre Dame",23,249.43,"IND","2016"
"Brigham Young",24,177.11,"IND","2016"
"Army",49,116.25,"IND","2016"
"Western Michigan",27,158.79,"MAC","2016"
"Massachusetts",31,144.17,"MAC","2016"
"Miami (OH)",21,128.12,"MAC","2016"
"Toledo",22,126.59,"MAC","2016"
"Ball State",23,112.58,"MAC","2016"
"Ohio",25,107.77,"MAC","2016"
"Bowling Green",15,106.05,"MAC","2016"
"Central Michigan",13,104.92,"MAC","2016"
"Eastern Michigan",21,104.7,"MAC","2016"
"Buffalo",19,104.22,"MAC","2016"
"Northern Illinois",20,101.47,"MAC","2016"
"Akron",12,85.08,"MAC","2016"
"Kent State",16,82.32,"MAC","2016"
"Boise State",28,159.06,"M-West","2016"
"Colorado State",25,150.53,"M-West","2016"
"San Diego State",23,139.05,"M-West","2016"
"UNLV",26,138.66,"M-West","2016"
"Fresno State",24,135.59,"M-West","2016"
"New Mexico",23,135.27,"M-West","2016"
"San Jose State",18,134.3,"M-West","2016"
"Utah State",24,130.2,"M-West","2016"
"Hawaii",19,122.99,"M-West","2016"
"Nevada",22,122.01,"M-West","2016"
"Air Force",37,109.83,"M-West","2016"
"Wyoming",24,108.13,"M-West","2016"
"USC",20,272.54,"Pac-12","2016"
"UCLA",29,262.28,"Pac-12","2016"
"Stanford",25,247.03,"Pac-12","2016"
"Arizona State",21,217.62,"Pac-12","2016"
"Oregon",19,211.55,"Pac-12","2016"
"Washington",17,209.35,"Pac-12","2016"
"California",27,207.74,"Pac-12","2016"
"Utah",30,200.88,"Pac-12","2016"
"Arizona",20,184.35,"Pac-12","2016"
"Oregon State",25,181.73,"Pac-12","2016"
"Washington State",27,168.93,"Pac-12","2016"
"Colorado",17,160.05,"Pac-12","2016"
"Alabama",24,301.41,"SEC","2016"
"LSU",25,290.6,"SEC","2016"
"Ole Miss",26,281.69,"SEC","2016"
"Georgia",21,276.94,"SEC","2016"
"Auburn",23,274.55,"SEC","2016"
"Florida",25,260.96,"SEC","2016"
"Tennessee",23,253.94,"SEC","2016"
"Texas A&M",22,240.17,"SEC","2016"
"Arkansas",23,218.97,"SEC","2016"
"South Carolina",27,218.91,"SEC","2016"
"Mississippi State",20,214.99,"SEC","2016"
"Kentucky",25,204.31,"SEC","2016"
"Missouri",20,188.35,"SEC","2016"
"Vanderbilt",21,173.22,"SEC","2016"
"Georgia Southern",27,153.51,"SBC","2016"
"Arkansas State",21,130.18,"SBC","2016"
"Troy",29,129.87,"SBC","2016"
"South Alabama",24,129.07,"SBC","2016"
"Louisiana-Lafayette",23,117.34,"SBC","2016"
"Texas State",24,115.5,"SBC","2016"
"Louisiana-Monroe",19,107.09,"SBC","2016"
"Appalachian State",23,106.72,"SBC","2016"
"Georgia State",19,99.15,"SBC","2016"
"Idaho",27,97.18,"SBC","2016"
"New Mexico State",20,93.63,"SBC","2016"
