"Rk","Wk","Date","Time","Day","Away","Pts","none","Home","Pts","TV","Notes","Away_CFB_Stats_Team_Code","Away_CFB_Stats_Name","Home_CFB_Stats_Team_Code","Home_CFB_Stats_Name"
"95","2","Sep 12 2015","","Sat","Delaware State","0",NA,"Kent State","0","","",178,"Delaware State",331,"Kent State"
"96","2","Sep 12 2015","","Sat","East Carolina","0",NA,"Florida","0","","",196,"East Carolina",235,"Florida"
"97","2","Sep 12 2015","","Sat","Eastern Illinois","0",NA,"Northwestern","0","","",201,"Eastern Illinois",509,"Northwestern"
"98","2","Sep 12 2015","","Sat","Eastern Kentucky","0",NA,"North Carolina State","0","","",202,"Eastern Kentucky",490,"North Carolina State"
"99","2","Sep 12 2015","","Sat","Eastern Michigan","0",NA,"Wyoming","0","","",204,"Eastern Michigan",811,"Wyoming"
"100","2","Sep 12 2015","","Sat","Florida International","0",NA,"Indiana","0","","",231,"Florida International",306,"Indiana"
"101","2","Sep 12 2015","","Sat","Fresno State","0",NA,"Mississippi","0","","",96,"Fresno State",433,"Mississippi"
"102","2","Sep 12 2015","","Sat","Furman","0",NA,"Virginia Tech","0","","",244,"Furman",742,"Virginia Tech"
"103","2","Sep 12 2015","","Sat","Georgia","0",NA,"Vanderbilt","0","","",257,"Georgia",736,"Vanderbilt"
"104","2","Sep 12 2015","","Sat","Georgia State","0",NA,"New Mexico State","0","","",254,"Georgia State",472,"New Mexico State"
"105","2","Sep 12 2015","","Sat","Hawaii","0",NA,"Ohio State","0","","",277,"Hawai'i",518,"Ohio State"
"106","2","Sep 12 2015","","Sat","Houston","0",NA,"Louisville","0","","",288,"Houston",367,"Louisville"
"107","2","Sep 12 2015","","Sat","Howard","0",NA,"Boston College","0","","",290,"Howard",67,"Boston College"
"108","2","Sep 12 2015","","Sat","Idaho","0",NA,"Southern California","0","","",295,"Idaho",657,"USC"
"109","2","Sep 12 2015","","Sat","Indiana State","0",NA,"Purdue","0","","",305,"Indiana State",559,"Purdue"
"110","2","Sep 12 2015","","Sat","Iowa","0",NA,"Iowa State","0","","",312,"Iowa",311,"Iowa State"
"111","2","Sep 12 2015","","Sat","Jacksonville State","0",NA,"Auburn","0","","",315,"Jacksonville State",37,"Auburn"
"112","2","Sep 12 2015","","Sat","Kansas State","0",NA,"Texas-San Antonio","0","","",327,"Kansas State",706,"UTSA"
"113","2","Sep 12 2015","","Sat","Kentucky","0",NA,"South Carolina","0","","",334,"Kentucky",648,"South Carolina"
