"RK","PLAYER","RESULT","PASS_EPA","RUN_EPA","SACK_EPA","PEN_EPA","TOTAL_EPA","ACT_PLAYS","RAW_QBR","TOTAL_QBR","Week","Team","Opponent","QB","QBshort","Win","Points_For"
42,"Seth Collins, ORST","L 35-7  @ MICH",1.5,-1.1,-0.3,0.5,0.6,28,43.5,67.2,2,"ORST","MICH","Seth Collins","Collins, S","L",7
43,"John Wolford, WAKE","L 30-17  @ SYR",6.1,1,-2.2,0.3,5.2,55,64.5,66.8,2,"WAKE","SYR","John Wolford","Wolford, J","L",17
44,"Joe Hubener, KSU","W 30-3  @ UTSA",4.5,2.3,-1.1,0.2,6,47,73.2,66.6,2,"KSU","UTSA","Joe Hubener","Hubener, J","W",30
45,"Jake Coker, ALA","W 37-10  vs MTSU",2.3,-0.3,0,1,3,31,69.8,66.5,2,"ALA","MTSU","Jake Coker","Coker, J","W",37
46,"Matt Linehan, IDHO","L 59-9  @ USC",0.5,0.1,0,0.5,1.1,38,55.4,66.4,2,"IDHO","USC","Matt Linehan","Linehan, M","L",9
47,"Matt Davis, SMU","W 31-13  vs UNT",4.9,3.9,-1.1,1.9,9.6,45,86.1,66.2,2,"SMU","UNT","Matt Davis","Davis, M","W",31
48,"Nick Arbuckle, GAST","W 34-32  @ NMSU",10.9,0.2,-0.6,-0.6,9.9,53,81.5,65.1,2,"GAST","NMSU","Nick Arbuckle","Arbuckle, N","W",34
49,"Phillip Ely, TOL","W 16-12  @ ARK",5.4,-0.2,0,-0.6,4.6,44,64.7,64.8,2,"TOL","ARK","Phillip Ely","Ely, P","W",16
50,"Wes Lunt, ILL","W 44-0  vs WIU",5.9,0,0,0.6,6.5,48,84.7,64.3,2,"ILL","WIU","Wes Lunt","Lunt, W","W",44
51,"Malik Zaire, ND","W 34-27  @ UVA",-0.4,3,-0.7,0.4,2.3,31,56.9,64,2,"ND","UVA","Malik Zaire","Zaire, M","W",34
52,"Mack Leftwich, UTEP","L 69-20  @ TTU",2,0.2,-0.5,0,1.7,27,66.5,63.7,2,"UTEP","TTU","Mack Leftwich","Leftwich, M","L",20
53,"Sam B. Richardson, ISU","L 31-17  vs IOWA",4,-0.5,-2.6,0.7,1.6,51,46.2,63.2,2,"ISU","IOWA","Sam B. Richardson","Richardson, S","L",17
54,"Jake Browning, WASH","W 49-0  vs SAC",4.2,0.9,-1.2,-0.1,3.8,29,83.9,62.8,2,"WASH","SAC","Jake Browning","Browning, J","W",49
55,"Clayton Thorson, NW","W 41-0  vs EIU",2.5,0.9,-0.7,-0.1,2.6,22,82.9,61.2,2,"NW","EIU","Clayton Thorson","Thorson, C","W",41
56,"Vernon Adams Jr., ORE","L 31-28  @ MSU",5.5,-1.7,-2.4,-0.9,0.4,58,39.5,61.2,2,"ORE","MSU","Vernon Adams Jr.","Adams, V","L",28
57,"Anu Solomon, ARIZ","W 44-20  @ NEV",6,-2.4,-0.8,2,4.9,42,69.7,60.3,2,"ARIZ","NEV","Anu Solomon","Solomon, A","W",44
58,"Gunner Kiel, CIN","L 34-26  vs TEM",1.6,-0.3,-0.4,2.2,3,63,52.4,60,2,"CIN","TEM","Gunner Kiel","Kiel, G","L",26
59,"Kendal Thompson, UTAH","W 24-14  vs USU",0.8,-0.3,0,0.7,1.3,20,55.3,59,2,"UTAH","USU","Kendal Thompson","Thompson, K","W",24
60,"Brenden Motley, VT","W 42-3  vs FUR",2.3,1.7,0,-0.2,3.8,31,81.5,58.9,2,"VT","FUR","Brenden Motley","Motley, B","W",42
61,"Tanner Mangum, BYU","W 35-24  vs BSU",6.8,-1.5,-3.7,0,1.7,42,48.1,58.9,2,"BYU","BSU","Tanner Mangum","Mangum, T","W",35
62,"Jason Driskel, FAU","L 44-20  vs MIA",2.2,0.4,-1.7,0.6,1.6,40,49.7,58.8,2,"FAU","MIA","Jason Driskel","Driskel, J","L",20
63,"Luke Falk, WSU","W 37-34  @ RUTG",9.5,0.2,-0.4,-0.1,9.2,76,68.7,58.8,2,"WSU","RUTG","Luke Falk","Falk, L","W",37
64,"Patrick Towles, UK","W 26-22  @ SC",0.6,2.7,-0.6,-0.5,2.2,37,53.2,58.7,2,"UK","SC","Patrick Towles","Towles, P","W",26
