"RK","PLAYER","RESULT","PASS_EPA","RUN_EPA","SACK_EPA","PEN_EPA","TOTAL_EPA","ACT_PLAYS","RAW_QBR","TOTAL_QBR","Week","Team","Opponent","QB","QBshort","Win","Points_For"
29,"Jeff Lockie, ORE","L 62-20  vs UTAH",-0.5,3.4,-0.8,-0.3,1.9,32,66.2,80.8,4,"ORE","UTAH","Jeff Lockie","Lockie, J","L",20
30,"Jacoby Brissett, NCST","W 63-13  @ USA",3.9,-0.3,-0.5,0,3.1,26,83.9,80.3,4,"NCST","USA","Jacoby Brissett","Brissett, J","W",63
31,"Jared Goff, CAL","W 30-24  @ WASH",8.6,0.2,-3.4,-0.5,4.9,53,62.7,79.7,4,"CAL","WASH","Jared Goff","Goff, J","W",30
32,"Kevin Ellison, GASO","W 44-20  @ IDHO",0.3,5.6,0,0.2,6,28,88.3,77.7,4,"GASO","IDHO","Kevin Ellison","Ellison, K","W",44
33,"A.J. Schurr, ARMY","W 58-36  @ EMU",-0.1,3.3,0,1.1,4.4,22,89.9,77.1,4,"ARMY","EMU","A.J. Schurr","Schurr, A","W",58
34,"Mitch Leidner, MINN","W 27-24  vs OHIO",7.7,0.6,-1.5,0.2,6.9,44,76,77,4,"MINN","OHIO","Mitch Leidner","Leidner, M","W",27
35,"David Blough, PUR","L 35-28  vs BGSU",10.6,2.8,-2.8,0.6,11.1,55,83.6,76.7,4,"PUR","BGSU","David Blough","Blough, D","L",28
36,"Brandon Allen, ARK","L 28-21  vs TA&M",4.5,1.3,-1.7,-0.9,3.1,42,57.1,76,4,"ARK","TA","Brandon Allen","Allen, B","L",21
37,"Trevone Boykin, TCU","W 55-52  @ TTU",14.1,-1.6,0,-0.4,12.1,71,78.1,76,4,"TCU","TTU","Trevone Boykin","Boykin, T","W",55
38,"Derrius Vick, OHIO","L 27-24  @ MINN",6.9,-1.3,-0.8,-0.2,4.5,38,68.1,75.4,4,"OHIO","MINN","Derrius Vick","Vick, D","L",24
39,"Brett Rypien, BSU","W 56-14  @ UVA",4.8,1.9,-2.1,-0.2,4.3,44,69.1,75,4,"BSU","UVA","Brett Rypien","Rypien, B","W",56
40,"Jerrard Randall, ARIZ","L 56-30  vs UCLA",-2.1,3.9,0,0,1.8,35,63.8,74.7,4,"ARIZ","UCLA","Jerrard Randall","Randall, J","L",30
41,"Hayden Moore, CIN","L 53-46  @ MEM",11.1,-2.6,0,0,8.3,66,70.3,73.9,4,"CIN","MEM","Hayden Moore","Moore, H","L",46
42,"DeShone Kizer, ND","W 62-27  vs UMASS",4.2,1.7,-0.3,0,5.6,31,82.5,73.7,4,"ND","UMASS","DeShone Kizer","Kizer, D","W",62
43,"Will Grier, FLA","W 28-27  vs TENN",6.3,-2,-1.8,0,2.5,50,51.3,73.6,4,"FLA","TENN","Will Grier","Grier, W","W",28
44,"Joshua Dobbs, TENN","L 28-27  @ FLA",1.8,1.7,-2.4,0,1.1,40,44.6,73.3,4,"TENN","FLA","Joshua Dobbs","Dobbs, J","L",27
45,"Lorenzo Nunez, SC","W 31-14  vs UCF",4.9,3.5,-0.7,0.1,7.8,42,83.2,72.1,4,"SC","UCF","Lorenzo Nunez","Nunez, L","W",31
46,"Chad Kelly, MISS","W 27-16  vs VAN",3.1,0.4,-1.8,1.1,2.8,56,50.8,71.3,4,"MISS","VAN","Chad Kelly","Kelly, C","W",27
47,"Nick Mullens, USM","L 36-28  @ NEB",6.4,0,-1.2,0,5.2,54,72.1,70.5,4,"USM","NEB","Nick Mullens","Mullens, N","L",28
48,"Tyler Jones, TXST","L 59-14  @ HOU",4.6,0.4,-1.5,-0.2,3.4,61,64,69.1,4,"TXST","HOU","Tyler Jones","Jones, T","L",14
49,"Johnny McCrary, VAN","L 27-16  @ MISS",2.6,-2.3,0,2.1,2.4,52,50,69,4,"VAN","MISS","Johnny McCrary","McCrary, J","L",16
50,"Brenden Motley, VT","L 35-28  @ ECU",3.6,2.8,-0.7,0,5.7,59,67.6,66.8,4,"VT","ECU","Brenden Motley","Motley, B","L",28
51,"Seth Collins, ORST","L 42-24  vs STAN",3.9,-1,-0.1,-0.1,2.8,50,57.1,66.8,4,"ORST","STAN","Seth Collins","Collins, S","L",24
52,"Mason Rudolph, OKST","W 30-27  @ TEX",5.9,-2,-2.4,1.1,2.5,46,52,66.6,4,"OKST","TEX","Mason Rudolph","Rudolph, M","W",30
53,"Sefo Liufau, COLO","W 48-0  vs NICH",3.5,0.2,0,0,3.8,27,85.9,66.4,4,"COLO","NICH","Sefo Liufau","Liufau, S","W",48
54,"Montell Cozart, KU","L 27-14  @ RUTG",2.7,-0.6,-1.1,1.5,2.5,27,74.5,65.5,4,"KU","RUTG","Montell Cozart","Cozart, M","L",14
55,"Cardale Jones, OSU","W 38-12  vs WMU",4.8,-0.6,-0.1,-0.2,3.9,46,71.9,65.5,4,"OSU","WMU","Cardale Jones","Jones, C","W",38
56,"Ryan Metz, UTEP","W 27-17  vs IW",7.6,1.6,-0.7,-0.1,8.4,39,85.1,65,4,"UTEP","IW","Ryan Metz","Metz, R","W",27
57,"Chris Laviano, RUTG","W 27-14  vs KU",4.6,0.7,0,-0.4,4.9,37,76.5,64.1,4,"RUTG","KU","Chris Laviano","Laviano, C","W",27
58,"Joe Licata, BUFF","L 24-21  vs NEV",8,0.1,-1.2,0.7,7.5,55,72.2,60.2,4,"BUFF","NEV","Joe Licata","Licata, J","L",21
59,"Connor Cook, MSU","W 30-10  vs CMU",1.9,0.3,0,0.2,2.5,25,65.2,59.9,4,"MSU","CMU","Connor Cook","Cook, C","W",30
60,"Nate Sudfeld, IND","W 31-24  @ WAKE",3.8,-0.3,-0.9,0.2,2.9,46,54.5,59.8,4,"IND","WAKE","Nate Sudfeld","Sudfeld, N","W",31
61,"Matt Linehan, IDHO","L 44-20  vs GASO",3,-0.8,-1.1,1.1,2.2,46,52.1,58.9,4,"IDHO","GASO","Matt Linehan","Linehan, M","L",20
62,"Blake Frohnapfel, UMASS","L 62-27  @ ND",1.5,-0.3,-1.5,0.9,0.6,47,42.9,57.4,4,"UMASS","ND","Blake Frohnapfel","Frohnapfel, B","L",27
63,"Brogan Roback, EMU","L 58-36  vs ARMY",3.4,0.8,0,0,4.1,44,74.5,57,4,"EMU","ARMY","Brogan Roback","Roback, B","L",36
64,"Cameron Coffman, WYO","L 38-28  vs UNM",5.6,0.6,-2.1,-0.4,3.7,53,61.7,55.5,4,"WYO","UNM","Cameron Coffman","Coffman, C","L",28
65,"Maty Mauk, MIZ","L 21-13  @ UK",3.8,-0.8,-0.5,1.4,3.9,47,60,52.6,4,"MIZ","UK","Maty Mauk","Mauk, M","L",13
66,"Zack Mahoney, SYR","L 34-24  vs LSU",-2.2,0.7,-0.9,0.6,-1.8,50,27.5,51.5,4,"SYR","LSU","Zack Mahoney","Mahoney, Z","L",24
67,"Alex McGough, FIU","L 27-17  @ LT",3.4,-0.3,-0.7,0,2.5,53,51.5,51.1,4,"FIU","LT","Alex McGough","McGough, A","L",17
68,"Riley Neal, BALL","L 24-19  @ NW",-1.2,-4.1,0,0.8,-4.4,52,19.2,49.6,4,"BALL","NW","Riley Neal","Neal, R","L",19
69,"Max Wittek, HAW","L 28-0  @ WIS",0.6,-0.3,-1.9,0.2,-1.4,38,26.3,48.9,4,"HAW","WIS","Max Wittek","Wittek, M","L",0
70,"Zach Terrell, WMU","L 38-12  @ OSU",-0.9,-0.2,-0.9,0.1,-1.9,48,24.5,48.8,4,"WMU","OSU","Zach Terrell","Terrell, Z","L",12
71,"Jeff Driskel, LT","W 27-17  vs FIU",3,0.5,-0.7,-0.2,2.6,44,54.7,46.8,4,"LT","FIU","Jeff Driskel","Driskel, J","W",27
72,"Matt Davis, SMU","L 48-45  vs JMU",4.9,4,-3.8,1.6,6.7,52,71.6,45.1,4,"SMU","JMU","Matt Davis","Davis, M","L",45
73,"Clayton Thorson, NW","W 24-19  vs BALL",6.3,-0.3,-0.7,-0.4,4.9,44,67.4,43.8,4,"NW","BALL","Clayton Thorson","Thorson, C","W",24
74,"Brooks Haack, ULL","L 35-14  vs AKR",-0.2,0.2,0,0,0.1,22,38.4,43.3,4,"ULL","AKR","Brooks Haack","Haack, B","L",14
75,"Sean White, AUB","L 17-9  vs MSST",0.9,1.3,-2.3,-0.2,-0.3,41,35.7,42.4,4,"AUB","MSST","Sean White","White, S","L",9
76,"Brandon Harris, LSU","W 34-24  @ SYR",3.4,-0.4,-2.1,-0.8,0.1,28,39,41.5,4,"LSU","SYR","Brandon Harris","Harris, B","W",34
77,"Colin Reardon, KENT","L 36-29  vs MRSH",-2.2,1.1,0,0,-1.2,43,31,40.7,4,"KENT","MRSH","Colin Reardon","Reardon, C","L",29
78,"Phillip Ely, TOL","W 37-7  vs ARST",-0.3,0.1,0,-0.3,-0.5,60,34.6,38.2,4,"TOL","ARST","Phillip Ely","Ely, P","W",37
79,"Bryant Shirreffs, CONN","L 28-18  vs NAVY",1,1,-1.9,0,0.1,50,38.4,35.3,4,"CONN","NAVY","Bryant Shirreffs","Shirreffs, B","L",18
80,"Blake Bogenschutz, UTSA","L 33-31  vs CSU",0.3,1,-0.6,-0.3,0.4,31,41,35.3,4,"UTSA","CSU","Blake Bogenschutz","Bogenschutz, B","L",31
81,"Garrett Smith, ULM","L 34-0  @ ALA",-3.5,-1.8,-2.5,0.1,-7.7,56,7.7,35.1,4,"ULM","ALA","Garrett Smith","Smith, G","L",0
82,"Ford Childress, FRES","L 49-23  @ SJSU",0.9,0,-0.9,0,0,34,37.7,33.5,4,"FRES","SJSU","Ford Childress","Childress, F","L",23
83,"Joel Stave, WIS","W 28-0  vs HAW",1.2,0,-0.7,0.8,1.4,30,51.8,33.5,4,"WIS","HAW","Joel Stave","Stave, J","W",28
84,"Drew Hare, NIU","L 17-14  @ BC",-3.7,-0.3,-1.5,0.5,-5,44,15.8,33.2,4,"NIU","BC","Drew Hare","Hare, D","L",14
85,"Bo Schneider, UCF","L 31-14  @ SC",-0.3,0.2,-1,-0.1,-1.3,39,27.7,32.4,4,"UCF","SC","Bo Schneider","Schneider, B","L",14
86,"Matt Johns, UVA","L 56-14  vs BSU",0,0.6,-2.2,-0.2,-1.9,35,23.5,32.2,4,"UVA","BSU","Matt Johns","Johns, M","L",14
87,"Tanner Mangum, BYU","L 31-0  @ MICH",-1.9,0.5,-1.6,0.3,-2.7,38,12.2,27.1,4,"BYU","MICH","Tanner Mangum","Mangum, T","L",0
88,"Thomas Sirk, DUKE","W 34-20  vs GT",-1.1,-0.3,-0.4,-0.1,-1.8,40,25.3,27,4,"DUKE","GT","Thomas Sirk","Sirk, T","W",34
89,"Andrew McNulty, UNT","L 62-16  @ IOWA",-1.9,1,-2.1,-0.2,-3.2,44,14,26.9,4,"UNT","IOWA","Andrew McNulty","McNulty, A","L",16
90,"Chase Litton, MRSH","W 36-29  @ KENT",-2.6,-1,-2.8,1.7,-4.6,50,18.8,24.2,4,"MRSH","KENT","Chase Litton","Litton, C","W",36
91,"Wes Lunt, ILL","W 27-25  vs MTSU",2.8,-3.4,-2.1,-0.1,-2.8,53,25.7,22.9,4,"ILL","MTSU","Wes Lunt","Lunt, W","W",27
92,"Tyler Stewart, NEV","W 24-21  @ BUFF",-0.6,0,-0.8,0.4,-1,27,29.4,22.4,4,"NEV","BUFF","Tyler Stewart","Stewart, T","W",24
93,"Justin Thomas, GT","L 34-20  @ DUKE",0.1,-1.7,-1.7,-0.2,-3.5,46,18.4,21.4,4,"GT","DUKE","Justin Thomas","Thomas, J","L",20
94,"Driphus Jackson, RICE","L 70-17  @ BAY",1.1,-2.6,-1.7,0.4,-2.9,38,13.5,21.3,4,"RICE","BAY","Driphus Jackson","Jackson, D","L",17
95,"Kendall Hinton, WAKE","L 31-24  vs IND",-2.2,3.6,-3.5,-0.1,-2.2,72,29.3,20.9,4,"WAKE","IND","Kendall Hinton","Hinton, K","L",24
96,"Jake Coker, ALA","W 34-0  vs ULM",-1.1,-0.1,-0.4,-0.1,-1.6,38,23.8,20.1,4,"ALA","ULM","Jake Coker","Coker, J","W",34
97,"Maxwell Smith, SDSU","L 37-21  @ PSU",-1.7,-0.8,-3.5,0.5,-5.5,40,8.2,20.1,4,"SDSU","PSU","Maxwell Smith","Smith, M","L",21
98,"Jerrod Heard, TEX","L 30-27  vs OKST",-1.2,2.5,-5.3,-0.8,-4.9,40,14.6,17.3,4,"TEX","OKST","Jerrod Heard","Heard, J","L",27
99,"Mike Bercovici, ASU","L 42-14  vs USC",0.3,-4.7,-0.6,1.1,-3.9,53,12.2,16.3,4,"ASU","USC","Mike Bercovici","Bercovici, M","L",14
100,"Jake Browning, WASH","L 30-24  vs CAL",-0.3,-0.6,-3.1,-0.4,-4.3,40,15.4,15.2,4,"WASH","CAL","Jake Browning","Browning, J","L",24
101,"Caleb Rowe, MD","L 45-6  @ WVU",-4.3,1.5,-0.5,-0.1,-3.3,30,7.4,14.5,4,"MD","WVU","Caleb Rowe","Rowe, C","L",6
102,"Jalen Nixon, ULL","L 35-14  vs AKR",-0.7,-0.4,-1,0.5,-1.6,28,11.8,14,4,"ULL","AKR","Jalen Nixon","Nixon, J","L",14
103,"Jaquez Johnson, FAU","W 17-7  @ CHAR",-0.6,-1.1,-3.6,-0.2,-5.6,40,12.3,11.2,4,"FAU","CHAR","Jaquez Johnson","Johnson, J","W",17
104,"Troy Flutie, BC","W 17-14  vs NIU",-1.2,-1.6,-0.6,0,-3.4,20,8.9,10.3,4,"BC","NIU","Troy Flutie","Flutie, T","W",17
105,"Cody Clements, USA","L 63-13  vs NCST",-1.8,-4.9,0,1.4,-5.3,38,6.5,9.8,4,"USA","NCST","Cody Clements","Clements, C","L",13
106,"James Tabary, ARST","L 37-7  @ TOL",-2.3,-1.9,-2.9,-0.3,-7.4,45,3,3.9,4,"ARST","TOL","James Tabary","Tabary, J","L",7
107,"Shuler Bentley, ODU","L 49-0  vs APP",-0.8,-4,-0.7,0,-5.6,33,2.7,3.6,4,"ODU","APP","Shuler Bentley","Bentley, S","L",0
108,"Lee McNeill, CHAR","L 17-7  vs FAU",-8.3,-0.9,-5.3,0.4,-14,40,1.4,1.4,4,"CHAR","FAU","Lee McNeill","McNeill, L","L",7
1,"James Summers, ECU","W 49-23  @ SMU",3.9,6.2,0,0.1,10.2,20,99.8,99.4,5,"ECU","SMU","James Summers","Summers, J","W",49
2,"Seth Russell, BAY","W 63-35  vs TTU",8.2,1.7,0,0.7,10.7,38,97.7,97.3,5,"BAY","TTU","Seth Russell","Russell, S","W",63
3,"Marquise Williams, UNC","W 38-31  @ GT",1.3,11.7,-0.1,-0.2,12.7,40,95.8,96.5,5,"UNC","GT","Marquise Williams","Williams, M","W",38
4,"Will Grier, FLA","W 38-10  vs MISS",7,-0.1,-1.8,0,5.1,35,88.6,93.9,5,"FLA","MISS","Will Grier","Grier, W","W",38
5,"Jake Coker, ALA","W 38-10  @ UGA",4,0.1,0,-0.4,3.7,28,86.7,93.6,5,"ALA","UGA","Jake Coker","Coker, J","W",38
6,"Trevone Boykin, TCU","W 50-7  vs TEX",5,-0.5,0,0.4,4.9,43,89,92.9,5,"TCU","TEX","Trevone Boykin","Boykin, T","W",50
7,"Brett Rypien, BSU","W 55-0  vs HAW",5.9,-0.5,0,0.2,5.6,32,96.4,92.6,5,"BSU","HAW","Brett Rypien","Rypien, B","W",55
8,"Brandon Doughty, WKU","W 49-10  @ RICE",10.7,0,0,1.2,11.9,42,97.3,92.6,5,"WKU","RICE","Brandon Doughty","Doughty, B","W",49
9,"Kent Myers, USU","W 33-18  vs CSU",1.1,9.5,-0.5,1.2,11.3,45,92.5,90.7,5,"USU","CSU","Kent Myers","Myers, K","W",33
10,"Patrick Mahomes, TTU","L 63-35  @ BAY",6.6,1.5,0,-0.4,7.8,59,85.1,90.3,5,"TTU","BAY","Patrick Mahomes","Mahomes, P","L",35
11,"Jeff Driskel, LT","W 43-14  vs ULL",5.5,3.1,0,1,9.5,45,93.8,87.3,5,"LT","ULL","Jeff Driskel","Driskel, J","W",43
12,"Brandon Allen, ARK","W 24-20  @ TENN",2.4,0.9,0,0,3.3,30,66.4,85.5,5,"ARK","TENN","Brandon Allen","Allen, B","W",24
13,"Kyle Allen, TA&M","W 30-17  vs MSST",8.4,0.2,-0.3,0,8.4,53,81.4,85.3,5,"TA","MSST","Kyle Allen","Allen, K","W",30
14,"DeShone Kizer, ND","L 24-22  @ CLEM",4.1,0.1,-1.5,1.1,3.7,56,58.4,83.8,5,"ND","CLEM","DeShone Kizer","Kizer, D","L",22
15,"Paxton Lynch, MEM","W 24-17  @ USF",7.1,0.9,-1.6,0,6.4,44,74.2,83.7,5,"MEM","USF","Paxton Lynch","Lynch, P","W",24
16,"Keenan Reynolds, NAVY","W 33-11  vs AFA",2.3,4.5,-1.4,-0.1,5.3,41,84.8,82.7,5,"NAVY","AFA","Keenan Reynolds","Reynolds, K","W",33
17,"Joe Gray, SJSU","L 35-21  @ AUB",4.4,0.1,-0.3,0.5,4.7,40,72.7,82.7,5,"SJSU","AUB","Joe Gray","Gray, J","L",21
18,"Greg Ward Jr., HOU","W 38-24  @ TLSA",7.7,7.9,-1.7,0.2,14.1,61,88.9,81.6,5,"HOU","TLSA","Greg Ward Jr.","Ward, G","W",38
19,"Mason Rudolph, OKST","W 36-34  vs KSU",12.5,-1.1,-0.9,1.1,11.7,61,81.6,80.5,5,"OKST","KSU","Mason Rudolph","Rudolph, M","W",36
20,"Kody Cook, KSU","L 36-34  @ OKST",4.7,2.4,-2.5,1,5.6,38,73.9,79.6,5,"KSU","OKST","Kody Cook","Cook, K","L",34
21,"Kevin Hogan, STAN","W 55-17  vs ARIZ",4.3,0,-0.7,0,3.6,22,85,79.1,5,"STAN","ARIZ","Kevin Hogan","Hogan, K","W",55
22,"Mike Bercovici, ASU","W 38-23  @ UCLA",4.1,1.9,-0.3,0.1,5.6,56,65.8,78.4,5,"ASU","UCLA","Mike Bercovici","Bercovici, M","W",38
23,"Dak Prescott, MSST","L 30-17  @ TA&M",1.9,1.9,-1.1,0.6,3.3,54,58.9,78.3,5,"MSST","TA","Dak Prescott","Prescott, D","L",17
24,"Nick Mullens, USM","W 49-14  vs UNT",6.8,0.6,0,0.3,7.6,41,91.2,76.7,5,"USM","UNT","Nick Mullens","Mullens, N","W",49
25,"Nate Sudfeld, IND","L 34-27  vs OSU",1.7,-0.4,-0.4,0.8,1.7,25,55.5,76.5,5,"IND","OSU","Nate Sudfeld","Sudfeld, N","L",27
26,"Everett Golson, FSU","W 24-16  @ WAKE",5.4,1.6,-2,0.1,5.1,41,71.2,75.4,5,"FSU","WAKE","Everett Golson","Golson, E","W",24
27,"Deshaun Watson, CLEM","W 24-22  vs ND",0.8,1.6,0,0.5,2.9,38,64.5,74.2,5,"CLEM","ND","Deshaun Watson","Watson, D","W",24
28,"Luke Falk, WSU","L 34-28  @ CAL",11.9,0.2,-3.9,0,8.3,62,71.7,73.8,5,"WSU","CAL","Luke Falk","Falk, L","L",28
29,"Jared Goff, CAL","W 34-28  vs WSU",12.2,-1.2,-3,-0.2,7.8,56,73.5,73.2,5,"CAL","WSU","Jared Goff","Goff, J","W",34
30,"Connor Cook, MSU","W 24-21  vs PUR",2.3,1.1,0,-0.3,3.2,27,76.3,73.2,5,"MSU","PUR","Connor Cook","Cook, C","W",24
31,"Chad Kelly, MISS","L 38-10  @ FLA",2.2,1,-2.6,0.2,0.8,58,44.4,73.1,5,"MISS","FLA","Chad Kelly","Kelly, C","L",10
32,"Jerrard Randall, ARIZ","L 55-17  @ STAN",1.8,0.3,0,-0.1,2.1,39,61.3,73,5,"ARIZ","STAN","Jerrard Randall","Randall, J","L",17
33,"Lamar Jackson, LOU","W 20-13  @ NCST",0,5.5,-1.8,0.6,4.3,50,60.1,72.5,5,"LOU","NCST","Lamar Jackson","Jackson, L","W",20
34,"Matt Johnson, BGSU","W 28-22  @ BUFF",8.6,0.7,-3.3,0.3,6.2,40,78.6,71.8,5,"BGSU","BUFF","Matt Johnson","Johnson, M","W",28
35,"Tanner Mangum, BYU","W 30-13  vs CONN",9.5,-0.6,-1,-0.1,7.9,57,72.4,71.8,5,"BYU","CONN","Tanner Mangum","Mangum, T","W",30
36,"Zander Diamont, IND","L 34-27  vs OSU",-1.5,2.3,0,0.3,1.1,25,49.1,71.5,5,"IND","OSU","Zander Diamont","Diamont, Z","L",27
37,"Nick Stevens, CSU","L 33-18  @ USU",2.6,3.4,-1.8,-0.3,4.1,60,61.4,67.6,5,"CSU","USU","Nick Stevens","Stevens, N","L",18
38,"Blake Frohnapfel, UMASS","W 24-14  vs FIU",11.1,-2.1,-2.1,0.4,7.3,55,72.5,65.8,5,"UMASS","FIU","Blake Frohnapfel","Frohnapfel, B","W",24
39,"Baker Mayfield, OKLA","W 44-24  vs WVU",5.3,-1.7,-2.2,0.3,1.7,38,50.3,65.7,5,"OKLA","WVU","Baker Mayfield","Mayfield, B","W",44
40,"Drew Lock, MIZ","W 24-10  vs SC",2.6,2,-1.4,0,3.1,35,62.7,65.1,5,"MIZ","SC","Drew Lock","Lock, D","W",24
41,"Kendall Hinton, WAKE","L 24-16  vs FSU",4.7,-1.8,-1.5,0.2,1.6,60,45.1,63.9,5,"WAKE","FSU","Kendall Hinton","Hinton, K","L",16
42,"Clayton Thorson, NW","W 27-0  vs MINN",3.4,-0.4,-0.6,-0.2,2.2,34,58,63.7,5,"NW","MINN","Clayton Thorson","Thorson, C","W",27
43,"Johnny McCrary, VAN","W 17-13  @ MTSU",2.4,3.2,-1.4,-0.3,3.9,39,63.6,62.9,5,"VAN","MTSU","Johnny McCrary","McCrary, J","W",17
44,"Brent Stockstill, MTSU","L 17-13  vs VAN",3.7,-2.4,0,-0.7,0.6,59,40.3,61.9,5,"MTSU","VAN","Brent Stockstill","Stockstill, B","L",13
45,"Hayden Moore, CIN","W 34-23  vs MIA",3.5,-0.3,-1,0,2.2,40,51.9,60.9,5,"CIN","MIA","Hayden Moore","Moore, H","W",34
46,"David Blough, PUR","L 24-21  @ MSU",0.4,0.4,-1.2,0.4,0,42,38,59.7,5,"PUR","MSU","David Blough","Blough, D","L",21
47,"Cooper Rush, CMU","W 29-19  vs NIU",2,0,0,0.2,2.2,33,55.2,59.2,5,"CMU","NIU","Cooper Rush","Rush, C","W",29
48,"Tyler Stehling, RICE","L 49-10  vs WKU",1.9,-0.4,-0.6,-0.1,0.8,25,58.2,58.3,5,"RICE","WKU","Tyler Stehling","Stehling, T","L",10
49,"Thomas Sirk, DUKE","W 9-7  vs BC",1.1,-0.6,-1.4,0.7,-0.2,51,36.7,57.7,5,"DUKE","BC","Thomas Sirk","Sirk, T","W",9
50,"Jake Rudock, MICH","W 28-0  @ MD",1,3.4,-1.7,-0.4,2.4,40,56.3,57,5,"MICH","MD","Jake Rudock","Rudock, J","W",28
51,"Justin Thomas, GT","L 38-31  vs UNC",3.9,-2.6,0,-0.2,1.1,40,46.4,57,5,"GT","UNC","Justin Thomas","Thomas, J","L",31
52,"Jake Luton, IDHO","L 49-35  @ ARST",-0.7,3,-0.6,-0.2,1.5,55,49,56,5,"IDHO","ARST","Jake Luton","Luton, J","L",35
53,"Patrick Towles, UK","W 34-27  vs EKY",11.2,0.8,-3,1.4,10.4,60,79.5,55.8,5,"UK","EKY","Patrick Towles","Towles, P","W",34
54,"Nick Arbuckle, GAST","L 41-33  vs LIB",7.7,0.5,-1.8,0.4,6.6,39,79.4,55.6,5,"GAST","LIB","Nick Arbuckle","Arbuckle, N","L",33
55,"Derrius Vick, OHIO","W 14-12  @ AKR",5.6,-1.2,-2.7,-0.4,1.4,36,47.4,55.5,5,"OHIO","AKR","Derrius Vick","Vick, D","W",14
56,"Dane Evans, TLSA","L 38-24  vs HOU",1.3,2.1,-2.4,2,3,61,51.5,54.3,5,"TLSA","HOU","Dane Evans","Evans, D","L",24
57,"Sam B. Richardson, ISU","W 38-13  vs KU",3.3,0.9,-0.6,0.1,3.7,45,68.5,54.3,5,"ISU","KU","Sam B. Richardson","Richardson, S","W",38
58,"Joshua Dobbs, TENN","L 24-20  vs ARK",2.6,1.3,-0.8,-0.1,3,44,55.3,52.5,5,"TENN","ARK","Joshua Dobbs","Dobbs, J","L",20
59,"Lorenzo Nunez, SC","L 24-10  @ MIZ",0.4,2.3,-3,-0.2,-0.5,41,34.6,51.4,5,"SC","MIZ","Lorenzo Nunez","Nunez, L","L",10
60,"Brad Kaaya, MIA","L 34-23  @ CIN",2.9,-0.3,-0.8,0.5,2.2,47,50.1,51.4,5,"MIA","CIN","Brad Kaaya","Kaaya, B","L",23
61,"Skyler Howard, WVU","L 44-24  @ OKLA",-0.7,5.4,-7.3,0.2,-2.3,49,25.1,50,5,"WVU","OKLA","Skyler Howard","Howard, S","L",24
62,"Christian Hackenberg, PSU","W 20-14  vs ARMY",3.5,1.9,-2,-0.2,3.3,28,68.2,49.4,5,"PSU","ARMY","Christian Hackenberg","Hackenberg, C","W",20
63,"Tanner Lee, TULN","W 45-31  vs UCF",4.2,0,-1.7,-0.1,2.5,30,64.9,49.2,5,"TULN","UCF","Tanner Lee","Lee, T","W",45
64,"Nathan Peterman, PITT","W 17-13  @ VT",3.9,-0.6,-3.5,-0.1,-0.2,34,36,49.1,5,"PITT","VT","Nathan Peterman","Peterman, N","W",17
65,"Phillip Ely, TOL","W 24-10  @ BALL",2.9,-0.3,0,-0.3,2.4,29,68.6,48.2,5,"TOL","BALL","Phillip Ely","Ely, P","W",24
66,"Lamar Jordan, UNM","W 38-29  vs NMSU",-4.6,9.1,0,0.1,4.7,36,71,48,5,"UNM","NMSU","Lamar Jordan","Jordan, L","W",38
67,"Josh Rosen, UCLA","L 38-23  vs ASU",1.5,0,-1.5,0,0,47,37.5,46.8,5,"UCLA","ASU","Josh Rosen","Rosen, J","L",23
68,"Sefo Liufau, COLO","L 41-24  vs ORE",5,1.1,-3.9,-0.2,2,57,47.2,46.6,5,"COLO","ORE","Sefo Liufau","Liufau, S","L",24
69,"Brogan Roback, EMU","L 44-22  @ LSU",-0.7,-0.5,-1.1,0.1,-2.2,37,20.5,44.9,5,"EMU","LSU","Brogan Roback","Roback, B","L",22
70,"Joe Licata, BUFF","L 28-22  vs BGSU",3.4,1.4,-0.3,-0.4,4,67,55.1,44.3,5,"BUFF","BGSU","Joe Licata","Licata, J","L",22
71,"Quinton Flowers, USF","L 24-17  vs MEM",1.7,-1.6,0,0.5,0.5,39,41.8,43.2,5,"USF","MEM","Quinton Flowers","Flowers, Q","L",17
72,"Wes Lunt, ILL","W 14-13  vs NEB",3,-0.4,-1.5,0.8,1.9,51,47.5,42.6,5,"ILL","NEB","Wes Lunt","Lunt, W","W",14
73,"P.J. Walker, TEM","W 37-3  @ CHAR",1.3,-0.2,0,-0.4,0.7,29,44.9,42.4,5,"TEM","CHAR","P.J. Walker","Walker, P","W",37
74,"Montell Cozart, KU","L 38-13  @ ISU",3.4,-1.2,-1.8,-0.1,0.3,32,40.9,38.9,5,"KU","ISU","Montell Cozart","Cozart, M","L",13
75,"C.J. Beathard, IOWA","W 10-6  @ WIS",-3.2,2.9,-3,0.4,-2.9,31,18.9,38.4,5,"IOWA","WIS","C.J. Beathard","Beathard, C","W",10
76,"Jalen Nixon, ULL","L 43-14  @ LT",0.2,0.8,-0.6,-0.3,0.1,44,38.8,38.3,5,"ULL","LT","Jalen Nixon","Nixon, J","L",14
77,"Jacoby Brissett, NCST","L 20-13  vs LOU",2.4,-3.4,-2.7,0.4,-3.4,39,19.5,38,5,"NCST","LOU","Jacoby Brissett","Brissett, J","L",13
78,"Blake Decker, UNLV","W 23-17  @ NEV",0.8,-0.3,-1,1.1,0.6,21,45.4,35.4,5,"UNLV","NEV","Blake Decker","Decker, B","W",23
